album_name,artist_name,track_name,track_preview,track_uri,genre,acousticness,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,album_image,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,MFCC14,MFCC15,MFCC16,MFCC17,MFCC18,MFCC19,MFCC20,Spectral Contrast Freq Band1,Spectral Contrast Freq Band2,Spectral Contrast Freq Band3,Spectral Contrast Freq Band4,Spectral Contrast Freq Band5,Spectral Contrast Freq Band6,Spectral Contrast Freq Band7,mp3 File
The Doors,The Doors,Light My Fire,https://p.scdn.co/mp3-preview/2d7991467ffa18b525a86a17c7fb08955152dd62?cid=5df696031fe04b50b2bd7b434a7be855,spotify:track:5uvosCdMlFdTXhoazkTI5R,Rock,0.369,0.413,0.725,3,-5.787,0,0.0324,2.16e-05,0.0905,0.44,124.618,429760,4,https://i.scdn.co/image/ab67616d00001e025b96a8c5d61be8878452f8f1,-91.44361,81.40294,-3.8001359,44.299435,-2.1459596,9.849947,-20.270332,2.2933276,-3.9406898,7.7372675,-7.836081,4.274011,-11.778887,3.990144,-6.32937,0.42749098,-2.287845,2.7901332,-7.6519613,4.6209083,19.923304206308032,14.4490753132533,16.946926026661387,18.67331783329891,22.649444307425558,19.549071606450187,39.10659161767332,actual_music\_LightMyFire_TheDoors.mp3
Tres Hombres (Expanded 2006 Remaster),ZZ Top,La Grange - 2005 Remaster,https://p.scdn.co/mp3-preview/8eca30041aa528c012a2f0aa2e76eea8c12fd03a?cid=5df696031fe04b50b2bd7b434a7be855,spotify:track:70YvYr2hGlS01bKRIho1HM,Rock,0.00249,0.545,0.64,4,-9.937,0,0.224,0.0304,0.196,0.606,80.544,230480,4,https://i.scdn.co/image/ab67616d00001e020fe2ec86a0ec561ef2e2aae1,-54.409058,98.42306,-15.843473,50.69154,0.59660935,-0.8589415,-0.3913764,13.581254,5.3185987,12.7382965,-3.0250936,3.4520082,-6.0806165,-5.6207213,3.3321152,4.5334845,-4.429516,-1.2355247,-8.010227,3.746064,22.108222787286227,15.309871718562885,17.24735104313774,20.665449341874098,19.651367889231423,21.64444277804011,35.294941646631315,actual_music\_LaGrange2005Remaster_ZZTop.mp3
Highway 61 Revisited,Bob Dylan,Like a Rolling Stone,https://p.scdn.co/mp3-preview/0841431dd0677fd082898b3a2f2d9086690adb56?cid=5df696031fe04b50b2bd7b434a7be855,spotify:track:3AhXZa8sUQht0UEdBJgpGc,Rock,0.731,0.482,0.721,0,-6.839,1,0.0321,0.0,0.189,0.557,95.263,369600,4,https://i.scdn.co/image/ab67616d00001e02540a241e3001ddc276b9ab93,-40.431007,98.494064,-16.780977,28.7254,-10.334666,-1.2534394,-12.536051,-2.183952,-15.847091,3.0617805,-8.925805,1.9301429,-10.52179,-2.7905843,-9.304396,-3.101417,-6.4601483,-0.25557527,-8.610881,-5.480736,20.402499192653085,15.359736524593082,18.628384186354086,18.518391616033487,19.117455853167485,20.11076962033998,39.38305828489414,actual_music\_LikeaRollingStone_BobDylan.mp3
The Wall,Pink Floyd,"Another Brick in the Wall, Pt. 2",https://p.scdn.co/mp3-preview/92210b01fcc6efa80008663c158baf79cf0d7b5f?cid=5df696031fe04b50b2bd7b434a7be855,spotify:track:4gMgiXfqyzZLMhsksGmbQV,Rock,0.0781,0.694,0.394,0,-15.881,1,0.0428,0.000677,0.247,0.719,104.126,238747,4,https://i.scdn.co/image/ab67616d00001e02288d32d88a616b9a278ddc07,-161.57285,119.93489,-5.461064,38.1136,0.9217371,10.337357,4.8253055,4.1744328,2.0838041,2.373144,0.3811998,5.367023,1.2841116,1.4639637,-4.194256,0.31819567,-5.2645473,2.1263137,-5.3754635,-2.0185077,21.005660068354807,15.82700054285467,18.402459244185025,18.40248032124681,18.00828066946965,20.265413604575752,36.58513686179816,actual_music\_AnotherBrickintheWallPt2_PinkFloyd.mp3
Pearl (Legacy Edition),Janis Joplin,Me and Bobby McGee,https://p.scdn.co/mp3-preview/0ee3c761355d8734b4702a89286a35d0f60c54d6?cid=5df696031fe04b50b2bd7b434a7be855,spotify:track:1IqFh00G2kvvMm8pRMpehA,Rock,0.303,0.43,0.463,2,-10.96,1,0.0442,5.84e-05,0.152,0.66,93.405,271333,4,https://i.scdn.co/image/ab67616d00001e026f8c26346723dd0531696bed,-68.90314,73.31519,-4.29831,35.693863,3.0856445,16.03911,5.1672935,-0.38754338,-5.331611,9.524132,-9.014585,-1.4383578,-5.4192047,1.2314981,-7.402518,0.1045207,-6.3689103,-1.2306131,-8.426802,-2.3914027,22.792050862655394,16.10132354235458,18.83410141377419,18.489762385497457,19.427245027017584,19.448993078462976,33.99940290266639,actual_music\_MeandBobbyMcGee_JanisJoplin.mp3
Buffalo Springfield,Buffalo Springfield,For What It's Worth,https://p.scdn.co/mp3-preview/a0cc83ddc1b9c032f5e97546651aff9ca8b7e84a?cid=5df696031fe04b50b2bd7b434a7be855,spotify:track:1qRA5BS78u3gME0loMl9AA,Rock,0.406,0.653,0.519,2,-10.164,1,0.0497,0.0209,0.101,0.822,98.883,153693,4,https://i.scdn.co/image/ab67616d00001e02d231bd1716b71b6444e25f89,-121.9517,134.28746,-7.588955,39.923954,4.3236475,16.671886,0.29503933,11.33552,-3.620073,4.705385,-6.376533,0.029465714,-4.8630176,-1.7345774,-4.5446754,-1.3851858,-1.4539498,0.57492965,-11.61731,-6.260541,22.660428471747757,17.008846187487432,20.87289297258814,20.293984043403025,20.463051059350725,19.609483103058576,41.52449749803322,actual_music\_ForWhatItsWorth_BuffaloSpringfield.mp3
Dire Straits,Dire Straits,Sultans of Swing,https://p.scdn.co/mp3-preview/36d1b1b99357ff707acec4dddb357aa59d50c0b5?cid=5df696031fe04b50b2bd7b434a7be855,spotify:track:6cr6UDpkjEaMQ80OjWqEBQ,Rock,0.0632,0.73,0.868,5,-7.325,1,0.0288,0.0661,0.318,0.923,148.217,350400,4,https://i.scdn.co/image/ab67616d00001e02c5a897378c8caf5cd11935a6,-73.55985,93.618996,7.8471355,45.543278,5.804157,5.04165,8.012376,7.751619,0.5173206,6.262155,-4.7988076,6.2857866,1.3478034,3.6357143,-5.9273357,1.1487985,-4.5604978,4.046463,-5.954687,-4.967235,20.60576264961484,16.099976894647725,18.90779299600636,20.39577764189207,20.147718599482918,22.6277617889947,32.92514382458752,actual_music\_SultansofSwing_DireStraits.mp3
Surrealistic Pillow,Jefferson Airplane,Somebody to Love,https://p.scdn.co/mp3-preview/2bbbf1d141efc87df39c340f5a67bf5a25668ed1?cid=5df696031fe04b50b2bd7b434a7be855,spotify:track:4uGIJG1jYFonGc4LGp5uQL,Rock,0.408,0.504,0.578,4,-9.302,1,0.031,0.0,0.321,0.654,132.411,174840,4,https://i.scdn.co/image/ab67616d00001e022dac7a01676ddb36c1d0ec05,-68.33372,95.61174,-46.360703,41.446075,-3.5747275,12.791179,-6.464016,7.107388,-8.56577,11.996772,-9.60898,1.1352267,-9.363769,-2.8343801,-7.7611747,-4.333353,-0.961888,-1.7988026,-7.679565,-3.3944042,22.43120324115926,14.852772943814093,18.080764860245743,18.73945011369429,18.65930652282672,21.190018218973446,42.23187887111392,actual_music\_SomebodytoLove_JeffersonAirplane.mp3
Transformer,Lou Reed,Walk On the Wild Side,https://p.scdn.co/mp3-preview/ba3b4fe65d5198801dc5853e1d9f26f3dc47e8a9?cid=5df696031fe04b50b2bd7b434a7be855,spotify:track:5p3JunprHCxClJjOmcLV8G,Rock,0.683,0.575,0.318,0,-16.729,1,0.109,0.000202,0.0934,0.385,104.522,254173,4,https://i.scdn.co/image/ab67616d00001e02d55149748dca0e5a1f40778e,-183.25954,93.740555,27.756628,49.215523,9.221454,17.091585,-1.1485114,5.607886,-3.5911431,5.086596,-3.0472105,5.6396503,-6.0927854,-1.0928388,-4.4805875,1.3590062,-8.059102,2.1021788,-5.2274976,-1.970202,22.94263336566045,16.586121146982318,18.30311340713735,17.264291897187483,16.97373843564828,18.97965792307354,39.697505450768915,actual_music\_WalkOntheWildSide_LouReed.mp3
Purple Rain,Prince,When Doves Cry,https://p.scdn.co/mp3-preview/5fc1bc59898ea8d0d23cf88810828d014020ef5d?cid=5df696031fe04b50b2bd7b434a7be855,spotify:track:51H2y6YrNNXcy3dfc3qSbA,Rock,0.0102,0.729,0.989,9,-4.613,0,0.049,4.45e-05,0.443,0.84,126.47,352906,4,https://i.scdn.co/image/ab67616d00001e02d52bfb90ee8dfeda8378b99b,-6.9330206,97.71049,-36.101894,26.707859,-11.049993,20.360058,-25.026804,9.094352,-11.067359,9.823674,-3.9145439,3.6314082,-1.0368558,1.2147062,0.07709249,3.3697,-6.0000815,-0.35087422,-3.4581363,-3.4368496,17.07492447550021,13.294159378263492,17.431728637861564,17.935138977286215,18.839846846683024,17.889946092893936,41.23337815584555,actual_music\_WhenDovesCry_Prince.mp3
